State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Punjab,Ferozepur,Summer (Hot Weather),Limited Irrigation,Pusa Basmati 1121; Satabdi; Jaya
Odisha,Puri,Late Kharif,Limited Irrigation,Indira; CSR 27
Jharkhand,Gumla,Main Kharif,Irrigated,JGL 384; Vijetha
West Bengal,South 24 Parganas,Main Rabi,Limited Irrigation,Swarna; Satabdi; MTU-1061
Punjab,Faridkot,Summer (Hot Weather),Irrigated,Improved Sabarmati; Taraori Basmati; Ratna
Jharkhand,Hazaribagh,Early Kharif,Limited Irrigation,Sahbhagi Dhan; Pooja
Uttar Pradesh,Muzaffarnagar,Main Kharif,Irrigated,Vijetha; MTU-1318
Tamil Nadu,Villupuram,Rabi,Irrigated,Pusa 1509; SR 26B
Bihar,Paschim Champaran,Summer (Hot Weather),Limited Irrigation,IR 64; Jaya; CR Dhan 801
Uttar Pradesh,Faizabad,Main Kharif,Limited Irrigation,Ranjit; Pratiksha
Punjab,Moga,Main Kharif,Limited Irrigation,CR Dhan 40; Annada
West Bengal,Nadia,Rabi,Limited Irrigation,MTU-1061; Lunishree
Karnataka,Bellary,Kharif,Irrigated,PAU 201; MTU-1318
Chhattisgarh,Raigarh,Kharif,Rainfed,Vishnu Bhog; Khandagiri; CR Dhan 40; Annada
Assam,Tinsukia,Main Kharif,Rainfed,Anjali; Indira; Khandagiri
Bihar,Khagaria,Kharif,Irrigated,MTU-1224; Swarna (MTU-7029)
Uttar Pradesh,Ballia,Early Kharif,Irrigated,Kala Namak; Pusa Basmati 1121; Vijetha
Punjab,Fatehgarh Sahib,Late Kharif,Limited Irrigation,Khandagiri; Punjab Basmati 7; Pusa Basmati 1121
Andhra Pradesh,Krishna,Summer,Irrigated,Satabdi; CSR 43
Tamil Nadu,Coimbatore,Early Kharif,Irrigated,BPT-2231; Sumati
Bihar,Purba Champaran,Main Kharif,Irrigated,Mahsuri; RNR 15048
Uttar Pradesh,Sitapur,Early Kharif,Limited Irrigation,Anjali; Udaya; Pusa Basmati 1121
Chhattisgarh,Kabirdham,Main Kharif,Rainfed,Mahanandi; Surendra
Haryana,Karnal,Early Kharif,Irrigated,MTU-1318; Rasi
Assam,Tinsukia,Rabi,Limited Irrigation,Khitish; Kola Joha; Samba Mahsuri-Sub1; Pusa 1509
Jharkhand,Gumla,Kharif,Irrigated,BPT-2231; MTU-1010
Andhra Pradesh,Prakasam,Early Rabi,Limited Irrigation,Improved Sabarmati; Satabdi; CSR 27
Andhra Pradesh,Anantapur,Early Kharif,Rainfed,Saket 4; Pooja; Hamilton
West Bengal,Jalpaiguri,Main Kharif,Rainfed,Sahbhagi Dhan; Annada; Vandana
Karnataka,Dakshina Kannada,Main Kharif,Irrigated,JGL 1798; PR 130
Karnataka,Tumkur,Late Kharif,Limited Irrigation,Khandagiri; Swarna-Sub1
Karnataka,Mandya,Rabi,Limited Irrigation,Ratna; Khitish
Punjab,Ludhiana,Main Rabi,Irrigated,CSR 30; Punjab Basmati 7; Taraori Basmati
Punjab,Sangrur,Late Kharif,Limited Irrigation,Swarna-Sub1; Surendra; Khandagiri
Uttar Pradesh,Amethi,Summer (Hot Weather),Irrigated,Khitish; Kala Namak; Ratna
Odisha,Bargarh,Rabi,Limited Irrigation,MTU-1010; Ratna; Ciherang-Sub1
Andhra Pradesh,Guntur,Rabi,Limited Irrigation,Ratna; CSR 43; CSR 36; Jaya
Bihar,Bhagalpur,Summer,Irrigated,Khitish; Rasi
Bihar,Muzaffarpur,Late Kharif,Rainfed,Indira Barani 1; Sahbhagi Dhan
Punjab,Ferozepur,Summer (Hot Weather),Limited Irrigation,Pusa Basmati 1121; IR 64; Boro varieties
Uttar Pradesh,Sitapur,Kharif,Limited Irrigation,Taraori Basmati; Swarna-Sub1
Odisha,Koraput,Kharif,Rainfed,MCM-100; Annada
Uttar Pradesh,Faizabad,Summer (Hot Weather),Irrigated,IR 64; Adamchini
Andhra Pradesh,Krishna,Kharif,Irrigated,PR 130; PR 121; MTU-1061; PR 126
Karnataka,Raichur,Kharif,Irrigated,Mahsuri; MTU-1262; RNR 15048
Tamil Nadu,Villupuram,Rabi,Rainfed,Indira Barani 1; Pusa 1121
Assam,Dhubri,Late Kharif,Limited Irrigation,Annada; Samba Mahsuri-Sub1
Andhra Pradesh,Krishna,Early Rabi,Limited Irrigation,CSR 30; Hamilton; IR 64
Jharkhand,Dhanbad,Main Kharif,Rainfed,Virendra; Naveen; Nagina 22
Assam,Dhubri,Main Kharif,Irrigated,Swarna (MTU-7029); Sumati; Swarna-Sub1
Uttar Pradesh,Gorakhpur,Main Rabi,Irrigated,Taraori Basmati; Swarna
Odisha,Balasore,Early Rabi,Limited Irrigation,Improved Sabarmati; IR64-Sub1; Ciherang-Sub1
Tamil Nadu,Salem,Summer,Limited Irrigation,Satabdi; MTU-1061
Jharkhand,Lohardaga,Kharif,Limited Irrigation,Gayatri; Mahanandi
West Bengal,Birbhum,Main Rabi,Irrigated,Samba Mahsuri-Sub1; Pusa 1121
Punjab,Hoshiarpur,Early Kharif,Irrigated,Samba Mahsuri (BPT-5204); Vijetha; MTU-1318
Bihar,Begusarai,Early Kharif,Irrigated,Rasi; Samba Mahsuri-Sub1; MTU-1318
Bihar,Bhojpur,Rabi,Irrigated,Rasi; CSR 30
Haryana,Jind,Early Rabi,Limited Irrigation,Jaya; Khitish; GR 11
Tamil Nadu,Tiruchirapalli,Rabi,Rainfed,Hamilton; IR 64; Vandana; Jaya
Punjab,Malerkotla,Late Kharif,Rainfed,Pusa Basmati 1121; Virendra
Jharkhand,Giridih,Kharif,Limited Irrigation,Swarna-Sub1; Gayatri
Jharkhand,Giridih,Early Kharif,Irrigated,MTU-1318; MTU-1121; MTU-1010
Odisha,Cuttack,Kharif,Limited Irrigation,Hamilton; CSR 27; Sahbhagi Dhan; Naveen
Karnataka,Dakshina Kannada,Late Kharif,Rainfed,Mahanandi; Khandagiri; Gayatri
Assam,Jorhat,Summer,Limited Irrigation,Khitish; Improved Sabarmati; IR 64; CR Dhan 801
Tamil Nadu,Cuddalore,Summer (Hot Weather),Limited Irrigation,Hamilton; Khitish; SR 26B
Assam,Nagaon,Early Rabi,Irrigated,Khitish; Improved Sabarmati
Tamil Nadu,Kanyakumari,Kharif,Rainfed,CSR 36; Udaya
Bihar,Bhagalpur,Kharif,Rainfed,Sahbhagi Dhan; Pooja
Karnataka,Koppal,Early Rabi,Irrigated,IR 64; MTU-1010
West Bengal,Bardhaman,Main Rabi,Irrigated,Ratna; Samba Mahsuri-Sub1; Lunishree
Andhra Pradesh,Nellore,Early Kharif,Rainfed,Indira Barani 1; Vandana
West Bengal,South 24 Parganas,Kharif,Irrigated,MTU-1121; Kataribhog
Chhattisgarh,Sukma,Early Kharif,Limited Irrigation,Vishnu Bhog; Naveen
Punjab,Sangrur,Kharif,Irrigated,BPT-2231; Pusa 44; Punjab Basmati 7; JGL 384
Tamil Nadu,Kanyakumari,Rabi,Limited Irrigation,CSR 36; IR 64; Hamilton; Rasi
Karnataka,Shimoga,Main Rabi,Irrigated,Rasi; IR 64
Punjab,Amritsar,Main Rabi,Limited Irrigation,Jaya; Ratna; GR 11
Assam,Nagaon,Summer,Limited Irrigation,IR 64; Jaya; Boro varieties; Ratna
Uttar Pradesh,Sant Ravidas Nagar,Late Kharif,Irrigated,PR 128; Pusa Basmati 1121; Swarna (MTU-7029)
Andhra Pradesh,Vizianagaram,Rabi,Irrigated,IR 64; Satabdi
Assam,Bongaigaon,Early Rabi,Irrigated,MTU-1010; Satabdi
Chhattisgarh,Bilaspur,Early Kharif,Irrigated,Swarna (MTU-7029); Rasi
Haryana,Yamunanagar,Summer,Irrigated,IR 64; Rasi
Uttar Pradesh,Mau,Rabi,Limited Irrigation,IR 64; Pusa 1509
Uttar Pradesh,Mau,Summer,Irrigated,Jaya; Taraori Basmati
Odisha,Jagatsinghpur,Kharif,Limited Irrigation,Lunishree; Hamilton; Annada
Uttar Pradesh,Pratapgarh,Early Kharif,Limited Irrigation,Anjali; Adamchini; Indira
Bihar,Purba Champaran,Summer (Hot Weather),Limited Irrigation,Jaya; Ratna; CSR 30
Uttar Pradesh,Faizabad,Rabi,Irrigated,Pusa Basmati 1121; Rasi; Taraori Basmati; Swarna
Uttar Pradesh,Gorakhpur,Summer (Hot Weather),Limited Irrigation,Taraori Basmati; IR 64
Jharkhand,Ranchi,Early Kharif,Rainfed,Nagina 22; Indira Barani 1
Tamil Nadu,Villupuram,Main Rabi,Irrigated,IR 64; Improved Sabarmati
Punjab,Ludhiana,Summer,Irrigated,Improved Sabarmati; Rasi; Satabdi
Bihar,Madhubani,Early Kharif,Rainfed,Khandagiri; CR Dhan 40
Bihar,Madhubani,Main Kharif,Limited Irrigation,Konark; Ranjit
Uttar Pradesh,Pratapgarh,Kharif,Rainfed,Annada; Indira; Pooja; Pratiksha
Odisha,Jagatsinghpur,Main Kharif,Limited Irrigation,CSR 27; Udaya; Indira
Andhra Pradesh,Kadapa,Rabi,Limited Irrigation,GR 11; Swarna
West Bengal,Nadia,Rabi,Limited Irrigation,Samba Mahsuri-Sub1; Swarna; MTU-1010
Odisha,Bargarh,Rabi,Irrigated,Lunishree; CSR 27
Jharkhand,Paschim Singhbhum,Main Kharif,Irrigated,Rasi; PR 130
Punjab,SAS Nagar,Main Kharif,Limited Irrigation,Punjab Basmati 7; Surendra; Ranjit
Karnataka,Kodagu,Kharif,Rainfed,Sahbhagi Dhan; Jeerige Sanna; Lalat; Pratiksha
Odisha,Puri,Summer,Irrigated,CR Dhan 801; Swarna-Sub1; SR 26B
Uttar Pradesh,Mau,Main Kharif,Rainfed,CR Dhan 40; Sahbhagi Dhan
Odisha,Rayagada,Main Rabi,Irrigated,CSR 27; Rasi
Odisha,Jagatsinghpur,Main Kharif,Rainfed,Hamilton; CSR 36; Surendra
Uttar Pradesh,Amethi,Kharif,Rainfed,Pusa Basmati 1121; Kala Namak
West Bengal,Bankura,Main Rabi,Irrigated,Radhunipagal; Swarna-Sub1; Pusa 1509
Chhattisgarh,Mahasamund,Kharif,Limited Irrigation,Sahbhagi Dhan; Gayatri; Khandagiri
Tamil Nadu,Thanjavur,Summer (Hot Weather),Irrigated,Khitish; CSR 27; CSR 30
Haryana,Yamunanagar,Summer,Limited Irrigation,Satabdi; Boro varieties; Rasi; IR 64
Bihar,North-Eastern Plains - Regional,Summer,Irrigated,Khitish; Ciherang-Sub1; Boro varieties; Improved Sabarmati
Punjab,Ludhiana,Early Kharif,Limited Irrigation,Mahanandi; Khandagiri; Annada
Chhattisgarh,Jashpur,Early Kharif,Limited Irrigation,Khandagiri; Gayatri; Lalat
Tamil Nadu,Tirunelveli,Rabi,Rainfed,Ratna; GR 11
Tamil Nadu,Coimbatore,Early Rabi,Limited Irrigation,Lunishree; Improved Sabarmati
Chhattisgarh,Raigarh,Late Kharif,Limited Irrigation,CR Dhan 40; Ranjit
West Bengal,Paschim Medinipur,Early Rabi,Irrigated,MTU-1010; CSR 27; MTU-1061
West Bengal,Malda,Rabi,Irrigated,Jaya; IR 64; Satabdi
Assam,Bongaigaon,Early Kharif,Irrigated,PR 126; Sumati
Tamil Nadu,Ramanathapuram,Main Kharif,Limited Irrigation,CR Dhan 40; Naveen; Lalat
Chhattisgarh,Bastar,Rabi,Limited Irrigation,Ratna; Improved Sabarmati; Satabdi
Chhattisgarh,Bilaspur,Late Kharif,Irrigated,IR 64; Rasi
West Bengal,Dakshin Dinajpur,Kharif,Rainfed,Virendra; Badshabhog
Andhra Pradesh,Chittoor,Kharif,Rainfed,Nagina 22; Lalat
Bihar,Madhubani,Kharif,Irrigated,Samba Mahsuri-Sub1; IR 64
Jharkhand,Paschim Singhbhum,Late Kharif,Rainfed,Konark; Pooja; Swarna-Sub1
Karnataka,Shimoga,Main Kharif,Limited Irrigation,Gayatri; Naveen; Mysore Mallige
Haryana,Fatehabad,Kharif,Irrigated,IR 64; Mahsuri
Karnataka,Gadag,Early Rabi,Rainfed,Jaya; Khitish; Jeerige Sanna
Tamil Nadu,Tiruchirapalli,Rabi,Rainfed,CSR 43; Khitish; Swarna
Jharkhand,Hazaribagh,Early Rabi,Irrigated,Khitish; CSR 30; MTU-1010
Assam,Jorhat,Summer,Irrigated,Kola Joha; Samba Mahsuri-Sub1; Improved Sabarmati
Karnataka,Dakshina Kannada,Kharif,Irrigated,Vijetha; MTU-1224; Mysore Mallige
Tamil Nadu,Thoothukudi,Late Kharif,Limited Irrigation,Pooja; Konark
Bihar,Begusarai,Main Rabi,Irrigated,GR 11; IR 64
Uttar Pradesh,Sultanpur,Rabi,Irrigated,CSR 30; MTU-1010; Taraori Basmati; GR 11
Andhra Pradesh,Kadapa,Main Kharif,Irrigated,Samba Mahsuri (BPT-5204); MTU-1061
Bihar,Aurangabad,Summer,Limited Irrigation,Improved Sabarmati; Boro varieties; IR64-Sub1
Uttar Pradesh,Mau,Main Rabi,Limited Irrigation,Ratna; Pusa Basmati 1121
Uttar Pradesh,Ambedkar Nagar,Summer (Hot Weather),Irrigated,Adamchini; Jaya
West Bengal,North 24 Parganas,Late Kharif,Rainfed,Gayatri; Hamilton
Andhra Pradesh,Srikakulam,Summer (Hot Weather),Irrigated,CSR 36; Khitish; SR 26B
Uttar Pradesh,Ballia,Late Kharif,Irrigated,BPT-2231; Adamchini
Jharkhand,Hazaribagh,Early Kharif,Irrigated,PR 130; PAU 201
Assam,Tinsukia,Main Rabi,Limited Irrigation,IR64-Sub1; MTU-1010; Bora Rice
Punjab,Mansa,Summer (Hot Weather),Limited Irrigation,Pusa Basmati 1121; Jaya; IR 64
Haryana,Panipat,Late Kharif,Limited Irrigation,Gayatri; Mahanandi
Odisha,Jagatsinghpur,Kharif,Irrigated,RNR 15048; Pusa 44
Odisha,Sambalpur,Kharif,Irrigated,MCM-100; Samba Mahsuri (BPT-5204); Hamilton
Odisha,Koraput,Kharif,Rainfed,Gayatri; Lalat; Nagina 22
Odisha,Balasore,Early Rabi,Irrigated,SR 26B; Ratna
Karnataka,Mysore,Rabi,Irrigated,Ratna; Satabdi; MTU-1010
Karnataka,Southern Zone - Regional,Rabi,Rainfed,Jaya; Saket 4; Swarna; Birsa Vikas Dhan 109
Tamil Nadu,Thoothukudi,Rabi,Limited Irrigation,Lunishree; MCM-100; CSR 27; Khitish
Bihar,Gopalganj,Summer (Hot Weather),Irrigated,Khitish; Ciherang-Sub1
Punjab,Kapurthala,Summer (Hot Weather),Irrigated,CSR 30; Boro varieties
West Bengal,Murshidabad,Rabi,Rainfed,CSR 27; Birsa Vikas Dhan 109; Jaya
Bihar,Gopalganj,Late Kharif,Limited Irrigation,Samba Mahsuri-Sub1; Naveen
Bihar,Purba Champaran,Kharif,Rainfed,Virendra; Anjali; Saket 4
Tamil Nadu,Kanyakumari,Main Kharif,Irrigated,Mahsuri; Swarna (MTU-7029); RNR 15048
Andhra Pradesh,Southern Zone - Regional,Rabi,Irrigated,MCM-100; Hamilton; Khitish; CSR 27
West Bengal,North 24 Parganas,Kharif,Rainfed,Nagina 22; Gayatri
Andhra Pradesh,Vizianagaram,Late Kharif,Irrigated,SR 26B; Mahsuri
Bihar,Gaya,Main Kharif,Limited Irrigation,Ranjit; Udaya; Annada
West Bengal,Birbhum,Main Kharif,Limited Irrigation,Hamilton; CSR 43
Karnataka,Koppal,Early Kharif,Rainfed,Mahanandi; Indira
Uttar Pradesh,Azamgarh,Main Rabi,Irrigated,IR 64; Adamchini
Karnataka,Bellary,Early Kharif,Rainfed,Surendra; Konark
Uttar Pradesh,Mau,Late Kharif,Limited Irrigation,Lalat; Kala Namak; Vandana
Bihar,Gaya,Kharif,Irrigated,HKR 47; Rasi; JGL 1798; JGL 384
Punjab,Ferozepur,Late Kharif,Rainfed,Swarna-Sub1; Naveen; Ranjit
Andhra Pradesh,Vizianagaram,Early Kharif,Rainfed,Nagina 22; Indira; Naveen
Jharkhand,Ranchi,Kharif,Rainfed,Khandagiri; Birsa Vikas Dhan 110; Surendra; Lalat
Jharkhand,Hazaribagh,Rabi,Irrigated,GR 11; Pusa 1509
Punjab,Faridkot,Main Rabi,Irrigated,MTU-1010; Punjab Basmati 7
West Bengal,Alipurduar,Rabi,Irrigated,Pusa 1121; MTU-1061
Bihar,Patna,Summer,Irrigated,CSR 30; IR 64; Boro varieties
Bihar,Madhubani,Main Rabi,Irrigated,Rasi; Khitish; IR 64
Punjab,Ludhiana,Rabi,Irrigated,MTU-1010; IR 64
Bihar,Bhojpur,Early Rabi,Limited Irrigation,Swarna; Khitish
Haryana,Sirsa,Late Kharif,Rainfed,Naveen; Annada; Swarna-Sub1
West Bengal,Nadia,Early Kharif,Irrigated,Swarna-Sub1; JGL 1798
Bihar,Rohtas,Summer (Hot Weather),Irrigated,Boro varieties; Jaya
Chhattisgarh,Rajnandgaon,Rabi,Limited Irrigation,Rasi; Improved Sabarmati; MTU-1010; Swarna
Punjab,Hoshiarpur,Early Kharif,Rainfed,Punjab Basmati 7; Indira Barani 1
Assam,Nagaon,Late Kharif,Limited Irrigation,CR Dhan 801; Anjali; Konark
Bihar,Bhojpur,Main Rabi,Limited Irrigation,CSR 30; Improved Sabarmati; Pusa 1509
Uttar Pradesh,Faizabad,Rabi,Irrigated,Pusa 1121; Improved Sabarmati
Punjab,Faridkot,Early Kharif,Irrigated,Swarna (MTU-7029); JGL 384; Punjab Basmati 7
Punjab,Ludhiana,Kharif,Limited Irrigation,Anjali; Annada; Vandana; Pusa Basmati 1121
Punjab,Ferozepur,Main Rabi,Irrigated,Ratna; Taraori Basmati; Swarna
West Bengal,Alipurduar,Early Rabi,Limited Irrigation,Satabdi; MTU-1010; Improved Sabarmati
Tamil Nadu,Thoothukudi,Rabi,Rainfed,CSR 36; GR 11; CSR 30
Andhra Pradesh,Anantapur,Rabi,Limited Irrigation,Khitish; IR 64
Punjab,Mansa,Summer,Limited Irrigation,Ratna; Rasi
Assam,Dibrugarh,Early Kharif,Irrigated,MTU-1224; MTU-1121
Andhra Pradesh,Kadapa,Late Kharif,Rainfed,Surendra; Naveen; Lalat
Andhra Pradesh,Visakhapatnam,Summer,Limited Irrigation,Lunishree; Khitish
Uttar Pradesh,Chandauli,Kharif,Irrigated,MTU-1262; PR 128
Tamil Nadu,Thoothukudi,Summer (Hot Weather),Irrigated,CSR 43; Improved Sabarmati; Lunishree
Karnataka,Koppal,Summer,Irrigated,Jaya; Improved Sabarmati
Andhra Pradesh,Kadapa,Main Kharif,Rainfed,Udaya; Lunishree
Punjab,Fazilka,Rabi,Limited Irrigation,Ratna; Taraori Basmati; IR 64; Punjab Basmati 7
Uttar Pradesh,Bareilly,Early Kharif,Rainfed,Surendra; Sahbhagi Dhan
Andhra Pradesh,Chittoor,Summer,Limited Irrigation,Ratna; Improved Sabarmati; IR 64; Khitish
Andhra Pradesh,Kurnool,Main Kharif,Limited Irrigation,Anjali; CR Dhan 40
Karnataka,Dakshina Kannada,Main Kharif,Irrigated,IR 64; PR 128
Uttar Pradesh,Sant Ravidas Nagar,Main Kharif,Rainfed,Indira; Udaya; Vandana
Odisha,Kalahandi,Late Kharif,Irrigated,JGL 1798; CSR 27
Andhra Pradesh,East Godavari,Summer (Hot Weather),Limited Irrigation,Lunishree; MCM-100; Ratna
Andhra Pradesh,Chittoor,Main Rabi,Limited Irrigation,CSR 30; GR 11
Andhra Pradesh,Vizianagaram,Summer,Irrigated,Khitish; CSR 30; CSR 27; IR 64
Andhra Pradesh,Chittoor,Rabi,Rainfed,Lunishree; CSR 27
Tamil Nadu,Thoothukudi,Rabi,Irrigated,GR 11; Rasi
Karnataka,Gadag,Main Kharif,Irrigated,PR 131; Vijetha
Karnataka,Kodagu,Rabi,Rainfed,Indira Barani 1; Sahbhagi Dhan
Bihar,Darbhanga,Early Rabi,Limited Irrigation,IR64-Sub1; CSR 30; Samba Mahsuri-Sub1
Tamil Nadu,Kanyakumari,Kharif,Rainfed,Khandagiri; Swarna-Sub1
Tamil Nadu,Coimbatore,Main Kharif,Rainfed,Mahanandi; Saket 4; CSR 43
Tamil Nadu,Tiruvarur,Late Kharif,Irrigated,RNR 15048; CSR 27; Samba Mahsuri (BPT-5204)
Tamil Nadu,Ramanathapuram,Main Rabi,Limited Irrigation,CSR 36; Pusa 1121; Ratna
Haryana,Panipat,Early Kharif,Rainfed,Vandana; Birsa Vikas Dhan 110; Annada
Tamil Nadu,Villupuram,Kharif,Irrigated,Mahsuri; Rasi
West Bengal,Malda,Early Rabi,Irrigated,IR 64; Swarna-Sub1; Swarna
Uttar Pradesh,Maharajganj,Summer (Hot Weather),Irrigated,Kala Namak; IR 64; Pusa Basmati 1121
Chhattisgarh,Dantewada,Kharif,Irrigated,MTU-1121; PR 130
Assam,Kokrajhar,Rabi,Limited Irrigation,Swarna-Sub1; IR64-Sub1; Pusa 1509; Joha Rice
Uttar Pradesh,Jaunpur,Summer,Limited Irrigation,Pusa Basmati 1121; Boro varieties; Improved Sabarmati
Tamil Nadu,Thoothukudi,Summer,Limited Irrigation,MTU-1061; Boro varieties
Tamil Nadu,Nagapattinam,Early Kharif,Irrigated,Swarna (MTU-7029); Rasi
Karnataka,Shimoga,Main Rabi,Rainfed,Khitish; Mysore Mallige; Sahbhagi Dhan
Andhra Pradesh,Kurnool,Main Kharif,Rainfed,Saket 4; Surendra
Odisha,Keonjhar,Kharif,Limited Irrigation,Gayatri; Lalat; Ciherang-Sub1
Uttar Pradesh,Sant Ravidas Nagar,Main Rabi,Limited Irrigation,Pusa 1121; Khitish; Satabdi
Punjab,Kapurthala,Late Kharif,Irrigated,MTU-1262; MTU-1121
Bihar,Gopalganj,Main Kharif,Limited Irrigation,Indira; Samba Mahsuri-Sub1; Sahbhagi Dhan
Andhra Pradesh,Guntur,Early Rabi,Rainfed,Birsa Vikas Dhan 109; MCM-100; GR 11
Jharkhand,Hazaribagh,Kharif,Limited Irrigation,Anjali; Vandana; Konark; Mahanandi
West Bengal,Howrah,Summer (Hot Weather),Irrigated,Khitish; Tulaipanji; IR64-Sub1
Uttar Pradesh,Ballia,Early Kharif,Limited Irrigation,Surendra; Sahbhagi Dhan; Lalat
Assam,Jorhat,Summer (Hot Weather),Irrigated,Satabdi; Improved Sabarmati; CSR 30
Bihar,Purnia,Early Rabi,Limited Irrigation,Swarna; Swarna-Sub1
Tamil Nadu,Tiruchirapalli,Summer (Hot Weather),Irrigated,Ratna; Khitish; CSR 30
Chhattisgarh,Bilaspur,Rabi,Irrigated,Pusa 1509; Khitish
Bihar,Bhojpur,Summer,Irrigated,Khitish; CR Dhan 801; Ratna; Improved Sabarmati
West Bengal,Darjeeling,Main Rabi,Irrigated,CSR 30; Swarna-Sub1
Andhra Pradesh,Prakasam,Rabi,Rainfed,CR Dhan 40; Anjali
Assam,Darrang,Main Kharif,Irrigated,MTU-1010; JGL 384
Odisha,Mayurbhanja,Kharif,Limited Irrigation,Samba Mahsuri-Sub1; IR64-Sub1; CSR 43
Punjab,Rupnagar,Early Kharif,Irrigated,PR 130; Punjab Basmati 7; PAU 201
Uttar Pradesh,Maharajganj,Main Kharif,Irrigated,PR 128; PR 121; Sumati
Haryana,Karnal,Early Kharif,Limited Irrigation,Gayatri; Naveen; Pratiksha
Uttar Pradesh,Faizabad,Late Kharif,Rainfed,Ranjit; Konark; Pratiksha
Karnataka,Raichur,Summer (Hot Weather),Irrigated,Jeerige Sanna; Mysore Mallige
Andhra Pradesh,Vizianagaram,Main Rabi,Limited Irrigation,MTU-1061; CSR 43; Lunishree
Assam,Dhubri,Kharif,Limited Irrigation,CR Dhan 40; Khandagiri
Chhattisgarh,Sukma,Main Kharif,Irrigated,RNR 15048; BPT-2231
Punjab,Mansa,Summer,Limited Irrigation,Improved Sabarmati; CSR 30; Boro varieties
West Bengal,Paschim Medinipur,Main Kharif,Rainfed,Nagina 22; Khandagiri
Haryana,Panipat,Summer,Irrigated,CSR 30; Boro varieties; Satabdi; Improved Sabarmati
Odisha,Nuapada,Main Kharif,Limited Irrigation,Naveen; Vandana; Mahanandi
Assam,Darrang,Kharif,Irrigated,Vijetha; Samba Mahsuri (BPT-5204); PR 121; Samba Mahsuri-Sub1
Odisha,Kalahandi,Main Kharif,Irrigated,PR 126; MCM-100
Assam,Cachar,Early Rabi,Limited Irrigation,GR 11; Kola Joha; Jaya
Andhra Pradesh,West Godavari,Main Kharif,Rainfed,Lalat; Ranjit; Birsa Vikas Dhan 109
Uttar Pradesh,Gorakhpur,Main Rabi,Irrigated,GR 11; Taraori Basmati
Uttar Pradesh,Maharajganj,Main Kharif,Limited Irrigation,Adamchini; Ranjit; Khandagiri
Tamil Nadu,Nagapattinam,Kharif,Irrigated,MTU-1318; MTU-1262
Uttar Pradesh,Muzaffarnagar,Early Kharif,Limited Irrigation,Naveen; Annada
Tamil Nadu,Coimbatore,Kharif,Limited Irrigation,Hamilton; Lalat
Chhattisgarh,Janjgir-Champa,Rabi,Limited Irrigation,Khitish; Vishnu Bhog; Swarna; Dubraj
West Bengal,Eastern Zone - Regional,Rabi,Limited Irrigation,Tulaipanji; Ratna; Kataribhog; MTU-1010
Punjab,SBS Nagar,Kharif,Irrigated,Pusa Basmati 1121; Mahsuri
West Bengal,Bardhaman,Rabi,Limited Irrigation,Kalonunia; Samba Mahsuri-Sub1
Tamil Nadu,Tirunelveli,Rabi,Limited Irrigation,MTU-1010; CSR 36; Satabdi
Odisha,Sambalpur,Main Rabi,Irrigated,Lunishree; Swarna
Punjab,Ferozepur,Kharif,Irrigated,PR 128; Swarna (MTU-7029); JGL 384; Pusa Basmati 1121
Andhra Pradesh,Nellore,Rabi,Limited Irrigation,Pusa 1121; SR 26B
Karnataka,Dakshina Kannada,Early Kharif,Limited Irrigation,Naveen; Gayatri
Tamil Nadu,Nagapattinam,Summer,Irrigated,Ratna; Rasi
Assam,Sibsagar,Main Kharif,Irrigated,RNR 15048; HKR 47; CR Dhan 801
Uttar Pradesh,Barabanki,Rabi,Limited Irrigation,IR 64; Adamchini; Pusa Basmati 1121
Bihar,Bhojpur,Kharif,Rainfed,Lalat; Gayatri; Indira; Naveen
Andhra Pradesh,East Godavari,Main Kharif,Irrigated,PAU 201; HKR 47
Odisha,Ganjam,Late Kharif,Irrigated,MTU-1061; CSR 36
Uttar Pradesh,Ambedkar Nagar,Rabi,Irrigated,Adamchini; Ratna
Assam,Dibrugarh,Summer,Irrigated,Samba Mahsuri-Sub1; Khitish
Chhattisgarh,Korba,Kharif,Rainfed,Birsa Vikas Dhan 109; Pooja
Chhattisgarh,Bilaspur,Rabi,Irrigated,Pusa 1121; Vishnu Bhog
Bihar,Aurangabad,Main Kharif,Limited Irrigation,Ciherang-Sub1; Indira
Andhra Pradesh,Chittoor,Early Kharif,Rainfed,Lalat; Indira
Uttar Pradesh,Ambedkar Nagar,Main Kharif,Irrigated,IR 64; MTU-1010; Sumati
Odisha,Koraput,Summer,Irrigated,MCM-100; IR 64
Karnataka,Gadag,Late Kharif,Limited Irrigation,CR Dhan 40; Swarna-Sub1; Pratiksha
Assam,Kokrajhar,Rabi,Irrigated,Satabdi; MTU-1010
Karnataka,Bellary,Main Kharif,Irrigated,Mahsuri; PR 131
Uttar Pradesh,Jaunpur,Kharif,Limited Irrigation,Sahbhagi Dhan; Pooja
Punjab,Muktsar,Rabi,Limited Irrigation,GR 11; CSR 30
Bihar,Purba Champaran,Kharif,Rainfed,Surendra; Indira Barani 1
Punjab,Gurdaspur,Main Rabi,Limited Irrigation,CSR 30; GR 11
Tamil Nadu,Tirunelveli,Summer,Irrigated,Satabdi; Lunishree
Karnataka,Uttar Kannada,Summer (Hot Weather),Irrigated,Mysore Mallige; Boro varieties
Karnataka,Dakshina Kannada,Main Rabi,Irrigated,MTU-1010; Khitish; CSR 30
